drug_use_freq,grade,sex,bmi,race4,drunk_driving,text_driving,carrying_weapon,suicide_attempt,quit_smoke,physical_fight,early_sex,screening_use,heavy_screen_use,sleeping_time,enough_sleep,smoking_status,binge_drinking,seat_belt,grades_school,smoke_age,alcohol_age,age_initial_alcohol,age_initial_smoking
No Drug Use,9th Grade,female,16.0714,White,No,No,No,Yes,Never Smoke,No,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,34.9063,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,never,NA,NA
Heavy Dose,9th Grade,female,32.1429,All other Races,No,No,No,Yes,Never Smoke,Yes,No,8,Yes,6,No,Never Smoker,No Binge Drinking,Sometimes,Mostly Below C's,9 or 10 years old,never,NA,9.5
No Drug Use,9th Grade,female,18.3287,White,Yes,No,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,female,18.6055,White,No,No,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,11 or 12 years old,11.5,NA
No Drug Use,9th Grade,female,24.2425,White,No,Yes,No,No,Never Smoke,No,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,20.9063,White,No,Yes,No,No,Never Smoke,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,female,25.6088,White,No,No,No,No,Never Smoke,No,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,20.77,White,No,No,No,No,Never Smoke,Yes,No,1,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
No Drug Use,9th Grade,female,26.0469,White,Yes,Yes,No,Yes,Never Smoke,No,Yes,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,female,22.5375,White,No,Yes,No,No,Never Smoke,No,No,1.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,9th Grade,female,20.7581,White,Yes,No,No,Yes,Never Smoke,No,Yes,7,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,11 or 12 years old,11.5,NA
No Drug Use,9th Grade,female,34.2333,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,4,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,20.4048,White,Yes,No,No,No,Never Smoke,No,No,4,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,23.9239,White,No,No,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,22.3641,White,No,Yes,No,No,Never Smoke,No,No,4,No,9,Yes,Never Smoker,No Binge Drinking,Sometimes,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,female,19.4922,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,3,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,female,21.6602,White,Yes,No,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,11 or 12 years old,11.5,NA
No Drug Use,9th Grade,female,22.494,White,No,No,No,No,Never Smoke,No,No,1,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,female,22.082,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,4,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,9th Grade,female,25.1602,White,No,Yes,No,Yes,Never Smoke,No,Yes,2.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Not sure,13 or 14 years old,11 or 12 years old,11.5,13.5
No Drug Use,9th Grade,female,17.0351,White,No,No,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,21.3361,White,Yes,Yes,No,Yes,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,20.5711,White,No,No,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,18.7813,White,No,No,No,No,Never Smoke,No,No,2,No,6,No,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,18.3287,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,6,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,20.1992,White,No,No,No,No,Never Smoke,No,No,0.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,25.1788,White,No,Yes,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,9th Grade,female,19.6319,Black or African American,Yes,No,No,Yes,Never Smoke,Yes,Yes,2,No,6,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
Light Dose,9th Grade,female,21.7107,All other Races,No,No,No,No,No,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,female,24.9917,White,No,Yes,No,No,Never Smoke,Yes,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,never,never,NA,NA
Heavy Dose,9th Grade,female,25.1142,All other Races,Yes,No,No,No,Yes,Yes,No,0,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,9 or 10 years old,11 or 12 years old,11.5,9.5
Light Dose,9th Grade,female,24.4531,White,No,Yes,No,Yes,Yes,Yes,No,2,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,15 or 16 years old,15.5,NA
No Drug Use,9th Grade,female,17.3633,White,No,No,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,female,20.0417,White,No,No,No,No,Never Smoke,No,No,7,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,10th Grade,female,25.7782,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,Yes,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,female,24.9844,White,No,No,No,No,Never Smoke,No,No,4.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,9th Grade,female,23.3242,Hispanic/Latino,Yes,No,No,No,Never Smoke,Yes,No,4,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,female,37.2238,White,No,No,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,female,20.8936,White,No,No,No,No,Never Smoke,No,No,4.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,20.1616,White,No,No,No,Yes,No,No,No,5,Yes,5,No,Light Smoker,Light Binge Drinking,Most of the time or Always,Mostly C's,11 or 12 years old,9 or 10 years old,9.5,11.5
No Drug Use,9th Grade,female,21.2617,White,No,No,No,Yes,No,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,female,21.1903,White,Yes,No,No,Yes,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,28.5107,White,Yes,No,No,Yes,Yes,No,Yes,8,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,never,NA,13.5
No Drug Use,9th Grade,female,25.2829,White,No,No,No,Yes,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,10th Grade,female,24.9917,White,No,Yes,No,No,Never Smoke,No,No,0,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,23.0494,Hispanic/Latino,Yes,Yes,No,No,Never Smoke,No,Yes,4,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,22.2171,White,No,No,No,No,Never Smoke,No,No,2,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,9th Grade,female,24.1071,White,No,No,No,No,Never Smoke,Yes,No,0.5,No,4,No,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,female,26.5781,White,No,No,No,Yes,Never Smoke,No,No,2.5,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,11 or 12 years old,9 or 10 years old,9.5,11.5
No Drug Use,10th Grade,female,29.157,All other Races,No,No,No,No,Never Smoke,No,No,0,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,female,22.1797,White,No,No,No,No,Never Smoke,No,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
Heavy Dose,10th Grade,female,24.4119,Black or African American,No,Yes,No,Yes,Yes,No,No,5,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,9 or 10 years old,13 or 14 years old,13.5,9.5
No Drug Use,9th Grade,female,18.4024,White,Yes,No,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,female,21.6978,White,No,No,No,No,Never Smoke,No,No,5.5,Yes,7,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly A's,never,11 or 12 years old,11.5,NA
No Drug Use,9th Grade,female,18.8283,White,No,No,No,Yes,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,female,23.9239,Hispanic/Latino,No,Yes,No,Yes,Never Smoke,No,Yes,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,9th Grade,female,25.7157,All other Races,No,Yes,No,No,Never Smoke,No,Yes,6,Yes,6,No,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,female,23.0494,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,female,18.9448,White,No,Yes,No,No,Never Smoke,No,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Heavy Dose,11th Grade,female,21.216,All other Races,No,Yes,No,No,Yes,No,Yes,1,No,8,Yes,Light Smoker,Light Binge Drinking,Most of the time or Always,Mostly Below C's,13 or 14 years old,15 or 16 years old,15.5,13.5
No Drug Use,11th Grade,female,22.4986,White,Yes,Yes,No,No,No,No,Yes,3,No,7,No,Light Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,15 or 16 years old,13 or 14 years old,13.5,15.5
No Drug Use,10th Grade,female,20.4863,White,Yes,Yes,No,No,No,No,No,5,Yes,6,No,Light Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,11th Grade,female,23.9239,White,No,Yes,No,No,Never Smoke,No,No,1.5,No,7,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,15 or 16 years old,15 or 16 years old,15.5,15.5
No Drug Use,10th Grade,female,21.9945,White,No,Yes,No,No,Never Smoke,No,No,3,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,female,29.5898,White,No,No,No,No,Never Smoke,No,No,3.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,19.4922,White,No,Yes,No,No,Never Smoke,No,No,0,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,11th Grade,female,17.179,White,No,No,No,Yes,Never Smoke,No,No,2,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,NA,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,female,25.8255,White,No,Yes,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
Light Dose,10th Grade,female,23.0352,Black or African American,No,Yes,No,No,Never Smoke,No,No,1.5,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,20.4048,White,No,No,No,No,Never Smoke,No,No,10,Yes,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,19.4922,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,11th Grade,female,20.0417,White,No,Yes,No,No,Never Smoke,No,No,1,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,female,24.8047,White,Yes,Yes,No,No,Never Smoke,No,No,4.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
Heavy Dose,10th Grade,female,31.979,All other Races,No,Yes,No,No,No,Yes,Yes,8,Yes,8,Yes,Light Smoker,No Binge Drinking,Most of the time or Always,Mostly Below C's,11 or 12 years old,13 or 14 years old,13.5,11.5
Light Dose,10th Grade,female,20.4048,White,No,Yes,No,No,No,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,11th Grade,female,20.2487,Black or African American,No,Yes,No,No,Never Smoke,No,No,7,Yes,6,No,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,never,never,NA,NA
Light Dose,11th Grade,female,36.5175,All other Races,No,No,No,Yes,Yes,No,No,7,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,13 or 14 years old,13 or 14 years old,13.5,13.5
Light Dose,11th Grade,female,17.3576,White,No,Yes,No,Yes,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,11th Grade,female,23.9,White,No,No,No,No,Never Smoke,No,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,female,20.375,White,No,No,No,No,Never Smoke,No,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,female,22.6616,White,Yes,No,No,Yes,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,19.6319,Black or African American,No,Yes,No,No,Never Smoke,Yes,No,8,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,11th Grade,female,27.3207,White,No,No,No,Yes,No,Yes,No,5.5,Yes,4,No,Light Smoker,Light Binge Drinking,Sometimes,Mostly C's,15 or 16 years old,13 or 14 years old,13.5,15.5
Light Dose,10th Grade,female,32.4885,Hispanic/Latino,No,Yes,No,Yes,Never Smoke,No,No,5,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly Below C's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,10th Grade,female,21.6602,White,No,No,No,No,Never Smoke,No,No,3.5,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,female,18.6119,White,No,Yes,No,No,Never Smoke,No,No,9,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,female,38.7557,White,No,No,No,No,Never Smoke,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
Light Dose,10th Grade,female,21.2617,All other Races,No,No,No,No,Yes,No,No,8,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,female,19.4922,All other Races,No,Yes,No,No,Never Smoke,No,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,11th Grade,female,24.9917,All other Races,No,Yes,No,Yes,Yes,No,No,7,Yes,5,No,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,11th Grade,female,31.8945,White,No,No,No,No,Never Smoke,No,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,40.7539,White,No,Yes,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,female,21.1446,White,No,No,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,21.1903,White,No,Yes,No,No,Never Smoke,No,No,1.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,female,17.6083,All other Races,No,Yes,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,female,20.6094,White,Yes,No,No,No,Never Smoke,No,No,2,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,female,28.1404,White,No,No,No,No,Never Smoke,No,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,25.2986,White,Yes,Yes,No,Yes,Never Smoke,No,No,6,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,female,21.1874,White,No,No,No,No,Yes,Yes,No,1,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,11 or 12 years old,11.5,NA
No Drug Use,11th Grade,female,23.3029,White,No,Yes,No,No,Never Smoke,No,No,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Heavy Dose,10th Grade,female,20.0893,Hispanic/Latino,Yes,No,No,Yes,Never Smoke,No,No,7,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,female,40.9726,All other Races,No,Yes,No,No,Never Smoke,No,No,5.5,Yes,6,No,Never Smoker,No Binge Drinking,Sometimes,Mostly C's,never,never,NA,NA
No Drug Use,10th Grade,female,23.8581,White,No,Yes,No,No,Never Smoke,No,No,0.5,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,10th Grade,female,23.9,All other Races,No,Yes,No,No,Never Smoke,No,No,5.5,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,10th Grade,female,22.1484,White,No,Yes,No,No,Never Smoke,No,No,4,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,11th Grade,female,23.5433,White,Yes,Yes,No,No,Yes,No,No,4.5,No,5,No,Never Smoker,Heavy Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
Light Dose,11th Grade,female,NA,White,No,No,No,Yes,No,No,No,2.5,No,5,No,Light Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,15 or 16 years old,never,NA,15.5
No Drug Use,11th Grade,female,19.4922,White,No,No,No,No,Never Smoke,No,No,2,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
Light Dose,11th Grade,female,23.9219,All other Races,Yes,Yes,No,No,Never Smoke,No,No,1,No,6,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,female,21.5303,White,No,No,No,Yes,Never Smoke,No,No,9,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,8 years old or younger,11 or 12 years old,11.5,8
No Drug Use,10th Grade,female,21.1903,White,No,No,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,female,17.6088,White,No,No,No,No,Never Smoke,No,No,4,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Heavy Dose,11th Grade,female,30.2102,White,Yes,Yes,No,Yes,Yes,Yes,Yes,0,No,4,No,Light Smoker,Heavy Binge Drinking,Sometimes,Mostly A's,15 or 16 years old,13 or 14 years old,13.5,15.5
No Drug Use,11th Grade,female,20.9162,White,No,Yes,No,No,Never Smoke,No,No,8,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,11th Grade,female,22.4683,White,Yes,No,No,Yes,No,No,No,6,Yes,7,No,Never Smoker,Light Binge Drinking,Never or Rarely,Mostly A's,11 or 12 years old,13 or 14 years old,13.5,11.5
No Drug Use,11th Grade,female,21.1607,Black or African American,No,Yes,No,No,Never Smoke,No,No,9,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
Heavy Dose,11th Grade,female,23.9467,White,Yes,Yes,No,No,No,No,Yes,7,Yes,6,No,Light Smoker,Heavy Binge Drinking,Most of the time or Always,Mostly C's,15 or 16 years old,9 or 10 years old,9.5,15.5
No Drug Use,10th Grade,female,20.8936,White,No,Yes,No,No,Never Smoke,No,No,7,Yes,8,Yes,Never Smoker,No Binge Drinking,Never or Rarely,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,female,19.7556,All other Races,No,No,No,Yes,Never Smoke,No,No,1,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,female,28.2222,White,No,No,No,No,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,female,30.8444,White,No,Yes,No,Yes,Never Smoke,No,No,1,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,15 or 16 years old,15.5,13.5
Light Dose,11th Grade,female,23.9219,Black or African American,No,Yes,No,No,Yes,Yes,No,0.5,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,15 or 16 years old,13 or 14 years old,13.5,15.5
No Drug Use,10th Grade,female,21.793,Black or African American,No,Yes,No,No,Never Smoke,No,No,1,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,11th Grade,female,27.1522,White,No,Yes,No,Yes,Never Smoke,No,No,0,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
Heavy Dose,11th Grade,female,18.7945,White,No,Yes,No,No,Yes,No,Yes,5,Yes,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly Below C's,13 or 14 years old,15 or 16 years old,15.5,13.5
Light Dose,11th Grade,female,20.6121,White,Yes,Yes,No,No,No,No,No,2,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,15 or 16 years old,15 or 16 years old,15.5,15.5
No Drug Use,11th Grade,female,NA,White,No,Yes,No,No,Never Smoke,No,No,0,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,22.5039,Black or African American,No,Yes,No,No,Never Smoke,Yes,No,0,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,female,18.3287,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,female,21.8995,All other Races,No,No,No,No,Never Smoke,No,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
No Drug Use,11th Grade,female,21.3407,Black or African American,No,No,No,No,Never Smoke,No,No,1,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,female,20.77,White,No,Yes,No,No,Never Smoke,No,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,female,22.7578,White,No,Yes,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,female,33.2155,White,No,No,No,No,Never Smoke,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,10th Grade,female,23.0494,White,No,Yes,No,Yes,Never Smoke,No,Yes,0.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,9 or 10 years old,13 or 14 years old,13.5,9.5
No Drug Use,10th Grade,female,24.8448,All other Races,No,Yes,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
